y,g_hat,dg_hat
-8.539999999999999813e-01,-1.766399632192678926e-01,-2.152924609599054406e+00
-8.529999999999999805e-01,-1.787975873529001336e-01,-2.162288084502407060e+00
-8.519999999999999796e-01,-1.809645393882726994e-01,-2.171580415248214990e+00
-8.509999999999999787e-01,-1.831407481833965678e-01,-2.180801605956773415e+00
-8.499999999999999778e-01,-1.853261426001862611e-01,-2.189951660321142413e+00
-8.489999999999999769e-01,-1.875206515040388489e-01,-2.199030581624143110e+00
-8.479999999999999760e-01,-1.897242037634345457e-01,-2.208038372755524392e+00
-8.469999999999999751e-01,-1.919367282495499094e-01,-2.216975036227196938e+00
-8.459999999999999742e-01,-1.941581538358889414e-01,-2.225840574189035692e+00
-8.449999999999999734e-01,-1.963884093979279821e-01,-2.234634988445449721e+00
-8.439999999999999725e-01,-1.986274238127798686e-01,-2.243358280471369426e+00
-8.429999999999999716e-01,-2.008751259588707205e-01,-2.252010451426968984e+00
-8.419999999999999707e-01,-2.031314447156337966e-01,-2.260591502173781464e+00
-8.409999999999999698e-01,-2.053963089632182826e-01,-2.269101433290032332e+00
-8.399999999999999689e-01,-2.076696475822138732e-01,-2.277540245085987181e+00
-8.389999999999999680e-01,-2.099513894533902580e-01,-2.285907937619128916e+00
-8.379999999999999671e-01,-2.122414634574521231e-01,-2.294204510708880207e+00
-8.369999999999999662e-01,-2.145397984748080300e-01,-2.302429963951510672e+00
-8.359999999999999654e-01,-2.168463233853551442e-01,-2.310584296735612497e+00
-8.349999999999999645e-01,-2.191609670682792554e-01,-2.318667508256183396e+00
-8.339999999999999636e-01,-2.214836584018675392e-01,-2.326679597529391685e+00
-8.329999999999999627e-01,-2.238143262633380537e-01,-2.334620563406545557e+00
-8.319999999999999618e-01,-2.261528995286806176e-01,-2.342490404589113950e+00
-8.309999999999999609e-01,-2.284993070725162834e-01,-2.350289119642795299e+00
-8.299999999999999600e-01,-2.308534777679662198e-01,-2.358016707011088897e+00
-8.289999999999999591e-01,-2.332153404865384694e-01,-2.365673165029761549e+00
-8.279999999999999583e-01,-2.355848240980257524e-01,-2.373258491940561044e+00
-8.269999999999999574e-01,-2.379618574704195910e-01,-2.380772685904844366e+00
-8.259999999999999565e-01,-2.403463694698354525e-01,-2.388215745017362224e+00
-8.249999999999999556e-01,-2.427382889604543237e-01,-2.395587667319674097e+00
-8.240000000000000657e-01,-2.451375448044745553e-01,-2.402888450813534860e+00
-8.229999999999999538e-01,-2.475440658620814138e-01,-2.410118093474650891e+00
-8.220000000000000639e-01,-2.499577809914238502e-01,-2.417276593264546136e+00
-8.209999999999999520e-01,-2.523786190486105308e-01,-2.424363948145128234e+00
-8.200000000000000622e-01,-2.548065088877140560e-01,-2.431380156090824585e+00
-8.189999999999999503e-01,-2.572413793607922217e-01,-2.438325215101514232e+00
-8.180000000000000604e-01,-2.596831593179170783e-01,-2.445199123215331838e+00
-8.169999999999999485e-01,-2.621317776072228933e-01,-2.452001878521684830e+00
-8.160000000000000586e-01,-2.645871630749604408e-01,-2.458733479172735770e+00
-8.149999999999999467e-01,-2.670492445655683889e-01,-2.465393923396533182e+00
-8.140000000000000568e-01,-2.695179509217534575e-01,-2.471983209509545532e+00
-8.129999999999999449e-01,-2.719932109845875079e-01,-2.478501335928257276e+00
-8.120000000000000551e-01,-2.744749535936099605e-01,-2.484948301181418628e+00
-8.109999999999999432e-01,-2.769631075869504189e-01,-2.491324103922124777e+00
-8.100000000000000533e-01,-2.794576018014542362e-01,-2.497628742939554058e+00
-8.089999999999999414e-01,-2.819583650728295643e-01,-2.503862217170905069e+00
-8.080000000000000515e-01,-2.844653262357960677e-01,-2.510024525712822197e+00
-8.069999999999999396e-01,-2.869784141242552322e-01,-2.516115667833048519e+00
-8.060000000000000497e-01,-2.894975575714621718e-01,-2.522135642981993442e+00
-8.049999999999999378e-01,-2.920226854102191960e-01,-2.528084450803930849e+00
-8.040000000000000480e-01,-2.945537264730699878e-01,-2.533962091148055151e+00
-8.029999999999999361e-01,-2.970906095925153756e-01,-2.539768564079963653e+00
-8.020000000000000462e-01,-2.996332636012298822e-01,-2.545503869892684179e+00
-8.009999999999999343e-01,-3.021816173323007559e-01,-2.551168009117390056e+00
-8.000000000000000444e-01,-3.047355996194646699e-01,-2.556760982534029836e+00
-7.989999999999999325e-01,-3.072951392973688467e-01,-2.562282791182781239e+00
-7.980000000000000426e-01,-3.098601652018302399e-01,-2.567733436373856648e+00
