y,u,v,w_imag
-5.349999999999999201e-01,5.246562816813421515e-01,-2.211122778389274512e-01,-4.216769739969105646e-01
-5.324999999999999734e-01,5.272223818834291809e-01,-2.227540412824800253e-01,-4.212426301188514910e-01
-5.300000000000000266e-01,5.297820989279095061e-01,-2.243940705025915805e-01,-4.207865971035928965e-01
-5.274999999999999689e-01,5.323353657593584698e-01,-2.260322812175554474e-01,-4.203089808292673202e-01
-5.249999999999999112e-01,5.348821153418940044e-01,-2.276685895578903218e-01,-4.198098870651322256e-01
-5.224999999999999645e-01,5.374222806635745586e-01,-2.293029120659198783e-01,-4.192894214732590941e-01
-5.200000000000000178e-01,5.399557947407725988e-01,-2.309351656953579635e-01,-4.187476896102069190e-01
-5.175000000000000711e-01,5.424825906225192451e-01,-2.325652678109013383e-01,-4.181847969286819899e-01
-5.150000000000000133e-01,5.450026013948247039e-01,-2.341931361878280826e-01,-4.176008487791801893e-01
-5.124999999999999556e-01,5.475157601849718336e-01,-2.358186890116024947e-01,-4.169959504116163562e-01
-5.100000000000000089e-01,5.500220001657846192e-01,-2.374418448774865409e-01,-4.163702069769378844e-01
-5.075000000000000622e-01,5.525212545598698899e-01,-2.390625227901575778e-01,-4.157237235287232213e-01
-5.050000000000000044e-01,5.550134566438349459e-01,-2.406806421633323201e-01,-4.150566050247649907e-01
-5.024999999999999467e-01,5.574985397524775399e-01,-2.422961228193960259e-01,-4.143689563286395705e-01
-5.000000000000000000e-01,5.599764372829514336e-01,-2.439088849890393429e-01,-4.136608822112602946e-01
-4.974999999999999423e-01,5.624470826989081962e-01,-2.455188493109002057e-01,-4.129324873524162220e-01
-4.949999999999999956e-01,5.649104095346091370e-01,-2.471259368312109239e-01,-4.121838763422969176e-01
-4.924999999999999378e-01,5.673663513990174767e-01,-2.487300690034537631e-01,-4.114151536830018552e-01
-4.899999999999999911e-01,5.698148419798609865e-01,-2.503311676880190517e-01,-4.106264237900338898e-01
-4.875000000000000444e-01,5.722558150476719785e-01,-2.519291551518716421e-01,-4.098177909937809060e-01
-4.849999999999999867e-01,5.746892044598014282e-01,-2.535239540682226456e-01,-4.089893595409799243e-01
-4.825000000000000400e-01,5.771149441644085609e-01,-2.551154875162050528e-01,-4.081412335961686066e-01
-4.799999999999999822e-01,5.795329682044259023e-01,-2.567036789805572372e-01,-4.072735172431204975e-01
-4.775000000000000355e-01,5.819432107214960181e-01,-2.582884523513112041e-01,-4.063863144862678856e-01
-4.749999999999999778e-01,5.843456059598924890e-01,-2.598697319234859471e-01,-4.054797292521077900e-01
-4.725000000000000311e-01,5.867400882704039144e-01,-2.614474423967863559e-01,-4.045538653905954574e-01
-4.699999999999999734e-01,5.891265921142042616e-01,-2.630215088753090069e-01,-4.036088266765226473e-01
-4.675000000000000266e-01,5.915050520666931266e-01,-2.645918568672498972e-01,-4.026447168108812091e-01
-4.649999999999999689e-01,5.938754028213129033e-01,-2.661584122846214484e-01,-4.016616394222130570e-01
-4.625000000000000222e-01,5.962375791933414160e-01,-2.677211014429720093e-01,-4.006596980679462128e-01
-4.599999999999999645e-01,5.985915161236612381e-01,-2.692798510611118523e-01,-3.996389962357147496e-01
-4.575000000000000178e-01,6.009371486825036968e-01,-2.708345882608433342e-01,-3.985996373446673569e-01
-4.549999999999999600e-01,6.032744120731704518e-01,-2.723852405666971066e-01,-3.975417247467593063e-01
-4.525000000000000133e-01,6.056032416357282067e-01,-2.739317359056726575e-01,-3.964653617280315956e-01
-4.499999999999999556e-01,6.079235728506833247e-01,-2.754740026069842362e-01,-3.953706515098765473e-01
-4.475000000000000089e-01,6.102353413426290230e-01,-2.770119694018108869e-01,-3.942576972502880861e-01
-4.449999999999999512e-01,6.125384828838719153e-01,-2.785455654230526434e-01,-3.931266020450989718e-01
-4.425000000000000044e-01,6.148329333980316891e-01,-2.800747202050898887e-01,-3.919774689292041536e-01
-4.399999999999999467e-01,6.171186289636203526e-01,-2.815993636835499303e-01,-3.908104008777695260e-01
-4.375000000000000000e-01,6.193955058175943940e-01,-2.831194261950745195e-01,-3.896255008074295256e-01
-4.349999999999999423e-01,6.216635003588883990e-01,-2.846348384770955864e-01,-3.884228715774659113e-01
-4.324999999999999956e-01,6.239225491519191369e-01,-2.861455316676141392e-01,-3.872026159909788823e-01
-4.299999999999999378e-01,6.261725889300717718e-01,-2.876514373049828266e-01,-3.859648367960407667e-01
-4.274999999999999911e-01,6.284135565991588734e-01,-2.891524873276942187e-01,-3.847096366868367756e-01
-4.249999999999999334e-01,6.306453892408585560e-01,-2.906486140741736390e-01,-3.834371183047924903e-01
-4.224999999999999867e-01,6.328680241161283027e-01,-2.921397502825749948e-01,-3.821473842396897469e-01
-4.200000000000000400e-01,6.350813986685973633e-01,-2.936258290905821022e-01,-3.808405370307649807e-01
-4.174999999999999822e-01,6.372854505279331727e-01,-2.951067840352137872e-01,-3.795166791677990203e-01
-4.150000000000000355e-01,6.394801175131863413e-01,-2.965825490526337593e-01,-3.781759130921898415e-01
-4.124999999999999778e-01,6.416653376361157735e-01,-2.980530584779635950e-01,-3.768183411980141062e-01
-4.100000000000000311e-01,6.438410491044828099e-01,-2.995182470451009382e-01,-3.754440658330749359e-01
-4.074999999999999734e-01,6.460071903253347125e-01,-3.009780498865413101e-01,-3.740531892999368058e-01
-4.050000000000000266e-01,6.481636999082517336e-01,-3.024324025332026378e-01,-3.726458138569471723e-01
-4.024999999999999689e-01,6.503105166685831939e-01,-3.038812409142572779e-01,-3.712220417192450550e-01
-4.000000000000000222e-01,6.524475796306533626e-01,-3.053245013569633737e-01,-3.697819750597569621e-01
-3.974999999999999645e-01,6.545748280309496847e-01,-3.067621205865042056e-01,-3.683257160101801042e-01
-3.950000000000000178e-01,6.566922013212850295e-01,-3.081940357258275975e-01,-3.668533666619515077e-01
-3.924999999999999600e-01,6.587996391719395106e-01,-3.096201842954927619e-01,-3.653650290672065259e-01
-3.900000000000000133e-01,6.608970814747777700e-01,-3.110405042135177545e-01,-3.638608052397235837e-01
-3.874999999999999556e-01,6.629844683463496091e-01,-3.124549337952328143e-01,-3.623407971558545992e-01
-3.850000000000000089e-01,6.650617401309587562e-01,-3.138634117531353684e-01,-3.608051067554464697e-01
-3.824999999999999512e-01,6.671288374037200875e-01,-3.152658771967505325e-01,-3.592538359427466244e-01
-3.800000000000000044e-01,6.691857009735855399e-01,-3.166622696324936648e-01,-3.576870865872985861e-01
-3.774999999999999467e-01,6.712322718863564797e-01,-3.180525289635372510e-01,-3.561049605248227667e-01
-3.750000000000000000e-01,6.732684914276638732e-01,-3.194365954896800641e-01,-3.545075595580881589e-01
-3.724999999999999423e-01,6.752943011259383566e-01,-3.208144099072217093e-01,-3.528949854577679845e-01
-3.699999999999999956e-01,6.773096427553469967e-01,-3.221859133088381677e-01,-3.512673399632864069e-01
-3.674999999999999378e-01,6.793144583387171753e-01,-3.235510471834624480e-01,-3.496247247836508643e-01
-3.649999999999999911e-01,6.813086901504328274e-01,-3.249097534161669021e-01,-3.479672415982745792e-01
-3.624999999999999334e-01,6.832922807193120285e-01,-3.262619742880507601e-01,-3.462949920577840235e-01
-3.599999999999999867e-01,6.852651728314613777e-01,-3.276076524761274977e-01,-3.446080777848168353e-01
-3.575000000000000400e-01,6.872273095331090653e-01,-3.289467310532200317e-01,-3.429066003748078018e-01
-3.549999999999999822e-01,6.891786341334168453e-01,-3.302791534878541380e-01,-3.411906613967615187e-01
-3.525000000000000355e-01,6.911190902072701370e-01,-3.316048636441576991e-01,-3.394603623940147252e-01
-3.499999999999999778e-01,6.930486215980464770e-01,-3.329238057817624497e-01,-3.377158048849867589e-01
-3.475000000000000311e-01,6.949671724203612122e-01,-3.342359245557077196e-01,-3.359570903639168549e-01
-3.449999999999999734e-01,6.968746870627955392e-01,-3.355411650163487858e-01,-3.341843203015916752e-01
-3.425000000000000266e-01,6.987711101905993427e-01,-3.368394726092650004e-01,-3.323975961460622353e-01
-3.399999999999999689e-01,7.006563867483750485e-01,-3.381307931751747486e-01,-3.305970193233458421e-01
-3.375000000000000222e-01,7.025304619627370517e-01,-3.394150729498495167e-01,-3.287826912381198174e-01
-3.349999999999999645e-01,7.043932813449544916e-01,-3.406922585640329015e-01,-3.269547132744035634e-01
-3.325000000000000178e-01,7.062447906935703790e-01,-3.419622970433606746e-01,-3.251131867962278044e-01
-3.299999999999999600e-01,7.080849360969984074e-01,-3.432251358082849535e-01,-3.232582131482943377e-01
-3.275000000000000133e-01,7.099136639361006695e-01,-3.444807226739998729e-01,-3.213898936566238485e-01
-3.249999999999999556e-01,7.117309208867439452e-01,-3.457290058503700303e-01,-3.195083296291935659e-01
-3.225000000000000089e-01,7.135366539223343407e-01,-3.469699339418610973e-01,-3.176136223565627636e-01
-3.199999999999999512e-01,7.153308103163307230e-01,-3.482034559474739277e-01,-3.157058731124882112e-01
